name,cardname,carddetail,category,icon,used
match1,Airport,Is your closest airport the same as mine?,matching,fa-solid fa-plane-departure,no
match2,Station Name Length,Is your closest train station name length the same as mine?,matching,fa-solid fa-train,no
match3,Train Line,Is your closest train line (either Metro Train TrainLink or Tram) the same as mine?,matching,fa-solid fa-train,no
match4,Street or Path,Is your closest street or path the same as mine?,matching,fa-solid fa-route,no
match5,Region A (Suburb),Is your suburb the same as mine?,matching,fa-solid fa-building-flag,no
match6,Region B (Council),Is your Council area the same as mine?,matching,fa-solid fa-building-flag,no
match7,Region C (State Electorate),Is your State Electorate area the same as mine?,matching,fa-solid fa-building-flag,no
match8,Region D (Federal Electorate),Is your Federal Electorate area the same as mine?,matching,fa-solid fa-building-flag,no
match9,Mountain,Is your closest mountain the same as mine?,matching,fa-solid fa-mountain,no
match10,National Park,Is your closest National Park the same as mine?,matching,fa-solid fa-tree,no
match11,Body of Water,Is your closest body of water the same as mine?,matching,fa-solid fa-water,no
match12,Amusement Park,Is your closest amusement park the same as mine?,matching,fa-solid fa-face-grin,no
match13,Zoo,Is your closest zoo the same as mine?,matching,fa-solid fa-otter,no
match14,Aquarium,Is your closest aquarium the same as mine?,matching,fa-solid fa-fish,no
match15,Golf Course,Is your closest golf course the same as mine?,matching,fa-solid fa-golf-ball-tee,no
match16,Museum,Is your closest museum the same as mine?,matching,fa-solid fa-building-columns,no
match17,Cinema,Is your closest cinema the same as mine?,matching,fa-solid fa-film,no
match18,Hosptial,Is your closest hospital the same as mine?,matching,fa-solid fa-hospital,no
match19,Library,Is your closest library the same as mine?,matching,fa-solid fa-book-open-reader,no
match20,Court House,Is your closest court house the same as mine?,matching,fa-solid fa-scale-balanced,no
measure1,Airport,"Compared to me, are you closer or further from an airport?",measuring,fa-solid fa-plane-departure,no
measure2,Train Line,"Compared to me, are you closer or further from a train line?",measuring,fa-solid fa-train,no
